YEAR,CLINIC,TOTAL,CipRsum,CipRsum_prevalence,Threshold,NumSites
2000,ALB,147,0,0.0,0.0,5
2000,MIN,171,0,0.0,0.0,5
2000,BHM,299,0,0.0,0.0,5
2000,CLE,270,0,0.0,0.0,5
2000,PHX,285,0,0.0,0.0,5
2001,CHI,283,0,0.0,0.0,5
2001,BHM,299,0,0.0,0.0,5
2001,PHI,300,3,0.01,0.0,5
2001,CLE,276,0,0.0,0.0,5
2001,NOR,197,0,0.0,0.0,5
2002,DAL,294,6,0.02040816326530612,0.0,5
2002,CLE,292,1,0.003424657534246575,0.0,5
2002,CHI,284,6,0.02112676056338028,0.0,5
2002,BHM,290,0,0.0,0.0,5
2002,ALB,160,0,0.0,0.0,5
2003,ALB,53,0,0.0,0.0,5
2003,ORA,161,33,0.20496894409937888,0.0,5
2003,SFO,300,73,0.24333333333333335,0.0,5
2003,BHM,288,0,0.0,0.0,5
2003,HON,92,21,0.22826086956521738,0.0,5
2004,SFO,300,94,0.31333333333333335,0.0,5
2004,SDG,294,77,0.2619047619047619,0.0,5
2004,BHM,286,3,0.01048951048951049,0.0,5
2004,HON,88,17,0.19318181818181818,0.0,5
2004,ALB,88,0,0.0,0.0,5
2005,ALB,151,11,0.0728476821192053,0.0,5
2005,POR,169,46,0.27218934911242604,0.0,5
2005,ORA,133,46,0.3458646616541353,0.0,5
2005,SFO,299,133,0.44481605351170567,0.0,5
2005,SDG,262,92,0.3511450381679389,0.0,5
2006,HON,70,20,0.2857142857142857,0.0,5
2006,ORA,117,48,0.41025641025641024,0.0,5
2006,SEA,188,55,0.2925531914893617,0.0,5
2006,SDG,190,69,0.3631578947368421,0.0,5
2006,SFO,300,94,0.31333333333333335,0.0,5
2007,SEA,163,51,0.3128834355828221,0.0,5
2007,SDG,182,53,0.29120879120879123,0.0,5
2007,ORA,87,29,0.3333333333333333,0.0,5
2007,SFO,211,55,0.26066350710900477,0.0,5
2007,PHI,253,52,0.20553359683794467,0.0,5
2008,ORA,82,15,0.18292682926829268,0.0,5
2008,SEA,162,34,0.20987654320987653,0.0,5
2008,SDG,172,36,0.20930232558139536,0.0,5
2008,HON,74,33,0.44594594594594594,0.0,5
2008,POR,105,21,0.2,0.0,5
2009,MIN,71,17,0.23943661971830985,0.0,5
2009,SEA,238,114,0.4789915966386555,0.0,5
2009,POR,106,27,0.25471698113207547,0.0,5
2009,HON,78,27,0.34615384615384615,0.0,5
2009,SDG,205,41,0.2,0.0,5
2010,ORA,107,27,0.2523364485981308,0.0,5
2010,MIN,47,11,0.23404255319148937,0.0,5
2010,SEA,167,70,0.41916167664670656,0.0,5
2010,HON,61,18,0.29508196721311475,0.0,5
2010,POR,167,40,0.23952095808383234,0.0,5
2011,ORA,124,42,0.3387096774193548,0.0,5
2011,SEA,149,48,0.3221476510067114,0.0,5
2011,SFO,258,85,0.32945736434108525,0.0,5
2011,SDG,205,79,0.3853658536585366,0.0,5
2011,HON,98,18,0.1836734693877551,0.0,5
2012,ORA,124,55,0.4435483870967742,0.0,5
2012,SEA,143,63,0.4405594405594406,0.0,5
2012,SDG,176,56,0.3181818181818182,0.0,5
2012,POR,129,19,0.14728682170542637,0.0,5
2012,SFO,269,94,0.34944237918215615,0.0,5
2013,SDG,218,66,0.30275229357798167,0.0,5
2013,SFO,300,99,0.33,0.0,5
2013,SEA,194,74,0.38144329896907214,0.0,5
2013,MIN,103,21,0.20388349514563106,0.0,5
2013,ORA,171,52,0.30409356725146197,0.0,5
2014,SFO,300,90,0.3,0.0,5
2014,POR,148,51,0.34459459459459457,0.0,5
2014,HON,123,26,0.21138211382113822,0.0,5
2014,ORA,183,53,0.2896174863387978,0.0,5
2014,SEA,187,52,0.27807486631016043,0.0,5
2015,POR,147,70,0.47619047619047616,0.0,5
2015,ORA,194,74,0.38144329896907214,0.0,5
2015,SFO,300,88,0.29333333333333333,0.0,5
2015,SDG,193,78,0.40414507772020725,0.0,5
2015,MIN,90,28,0.3111111111111111,0.0,5
2016,MIN,64,18,0.28125,0.0,5
2016,POR,119,46,0.3865546218487395,0.0,5
2016,SFO,300,120,0.4,0.0,5
2016,ORA,140,62,0.44285714285714284,0.0,5
2016,SDG,195,109,0.558974358974359,0.0,5
2017,POR,124,28,0.22580645161290322,0.0,5
2017,SFO,242,101,0.41735537190082644,0.0,5
2017,SDG,147,72,0.4897959183673469,0.0,5
2017,ORA,163,76,0.4662576687116564,0.0,5
2017,PHI,300,116,0.38666666666666666,0.0,5
2018,SDG,133,79,0.5939849624060151,0.0,5
2018,PHI,300,159,0.53,0.0,5
2018,ORA,156,84,0.5384615384615384,0.0,5
2018,SEA,229,100,0.4366812227074236,0.0,5
2018,SFO,249,106,0.42570281124497994,0.0,5
2019,SEA,176,44,0.25,0.0,5
2019,SDG,103,49,0.47572815533980584,0.0,5
2019,PHI,155,75,0.4838709677419355,0.0,5
2019,SFO,208,94,0.4519230769230769,0.0,5
2019,ORA,165,64,0.3878787878787879,0.0,5
2020,ALB,94,25,0.26595744680851063,0.0,5
2020,BHM,161,71,0.4409937888198758,0.0,5
2020,SDG,130,56,0.4307692307692308,0.0,5
2020,PHI,194,86,0.44329896907216493,0.0,5
2020,SFO,257,102,0.3968871595330739,0.0,5
2021,NOR,66,24,0.36363636363636365,0.0,5
2021,BHM,112,65,0.5803571428571429,0.0,5
2021,PHI,255,87,0.3411764705882353,0.0,5
2021,SDG,18,12,0.6666666666666666,0.0,5
2021,SFO,177,71,0.4011299435028249,0.0,5
2022,SDG,18,12,0.6666666666666666,0.0,5
2022,BHM,112,65,0.5803571428571429,0.0,5
2022,SEA,179,83,0.46368715083798884,0.0,5
2022,HON,47,20,0.425531914893617,0.0,5
2022,SFO,177,71,0.4011299435028249,0.0,5
2000,HON,79,16,0.20253164556962025,0.2,5
2000,ORA,129,3,0.023255813953488372,0.2,5
2000,NOR,126,0,0.0,0.2,5
2000,SEA,254,0,0.0,0.2,5
2000,SDG,235,5,0.02127659574468085,0.2,5
2001,SDG,249,41,0.1646586345381526,0.2,5
2001,CHI,283,0,0.0,0.2,5
2001,SFO,283,19,0.06713780918727916,0.2,5
2001,HON,94,11,0.11702127659574468,0.2,5
2001,ORA,175,20,0.11428571428571428,0.2,5
2002,SDG,257,34,0.13229571984435798,0.2,5
2002,HON,120,16,0.13333333333333333,0.2,5
2002,SEA,258,18,0.06976744186046512,0.2,5
2002,ORA,178,56,0.3146067415730337,0.2,5
2002,SFO,276,53,0.19202898550724637,0.2,5
2003,ORA,161,33,0.20496894409937888,0.2,5
2003,SFO,300,73,0.24333333333333335,0.2,5
2003,SDG,253,52,0.20553359683794467,0.2,5
2003,HON,92,21,0.22826086956521738,0.2,5
2003,SEA,235,38,0.16170212765957448,0.2,5
2004,SFO,300,94,0.31333333333333335,0.2,5
2004,SDG,294,77,0.2619047619047619,0.2,5
2004,HON,88,17,0.19318181818181818,0.2,5
2004,SEA,268,31,0.11567164179104478,0.2,5
2004,ORA,120,33,0.275,0.2,5
2005,POR,169,46,0.27218934911242604,0.2,5
2005,ORA,133,46,0.3458646616541353,0.2,5
2005,SFO,299,133,0.44481605351170567,0.2,5
2005,SDG,262,92,0.3511450381679389,0.2,5
2005,HON,95,34,0.35789473684210527,0.2,5
2006,HON,70,20,0.2857142857142857,0.2,5
2006,ORA,117,48,0.41025641025641024,0.2,5
2006,SEA,188,55,0.2925531914893617,0.2,5
2006,SDG,190,69,0.3631578947368421,0.2,5
2006,SFO,300,94,0.31333333333333335,0.2,5
2007,SEA,163,51,0.3128834355828221,0.2,5
2007,SDG,182,53,0.29120879120879123,0.2,5
2007,ORA,87,29,0.3333333333333333,0.2,5
2007,SFO,211,55,0.26066350710900477,0.2,5
2007,PHI,253,52,0.20553359683794467,0.2,5
2008,ORA,82,15,0.18292682926829268,0.2,5
2008,SEA,162,34,0.20987654320987653,0.2,5
2008,SDG,172,36,0.20930232558139536,0.2,5
2008,HON,74,33,0.44594594594594594,0.2,5
2008,POR,105,21,0.2,0.2,5
2009,MIN,71,17,0.23943661971830985,0.2,5
2009,SEA,238,114,0.4789915966386555,0.2,5
2009,POR,106,27,0.25471698113207547,0.2,5
2009,HON,78,27,0.34615384615384615,0.2,5
2009,SDG,205,41,0.2,0.2,5
2010,ALB,152,33,0.21710526315789475,0.2,5
2010,MIN,47,11,0.23404255319148937,0.2,5
2010,SEA,167,70,0.41916167664670656,0.2,5
2010,HON,61,18,0.29508196721311475,0.2,5
2010,POR,167,40,0.23952095808383234,0.2,5
2011,ORA,124,42,0.3387096774193548,0.2,5
2011,SEA,149,48,0.3221476510067114,0.2,5
2011,SFO,258,85,0.32945736434108525,0.2,5
2011,SDG,205,79,0.3853658536585366,0.2,5
2011,HON,98,18,0.1836734693877551,0.2,5
2012,ORA,124,55,0.4435483870967742,0.2,5
2012,SEA,143,63,0.4405594405594406,0.2,5
2012,SDG,176,56,0.3181818181818182,0.2,5
2012,POR,129,19,0.14728682170542637,0.2,5
2012,SFO,269,94,0.34944237918215615,0.2,5
2013,SDG,218,66,0.30275229357798167,0.2,5
2013,SFO,300,99,0.33,0.2,5
2013,SEA,194,74,0.38144329896907214,0.2,5
2013,MIN,103,21,0.20388349514563106,0.2,5
2013,ORA,171,52,0.30409356725146197,0.2,5
2014,SFO,300,90,0.3,0.2,5
2014,POR,148,51,0.34459459459459457,0.2,5
2014,SDG,189,59,0.31216931216931215,0.2,5
2014,HON,123,26,0.21138211382113822,0.2,5
2014,SEA,187,52,0.27807486631016043,0.2,5
2015,POR,147,70,0.47619047619047616,0.2,5
2015,ORA,194,74,0.38144329896907214,0.2,5
2015,SFO,300,88,0.29333333333333333,0.2,5
2015,SDG,193,78,0.40414507772020725,0.2,5
2015,MIN,90,28,0.3111111111111111,0.2,5
2016,MIN,64,18,0.28125,0.2,5
2016,POR,119,46,0.3865546218487395,0.2,5
2016,SFO,300,120,0.4,0.2,5
2016,ORA,140,62,0.44285714285714284,0.2,5
2016,SDG,195,109,0.558974358974359,0.2,5
2017,POR,124,28,0.22580645161290322,0.2,5
2017,SFO,242,101,0.41735537190082644,0.2,5
2017,SDG,147,72,0.4897959183673469,0.2,5
2017,ORA,163,76,0.4662576687116564,0.2,5
2017,PHI,300,116,0.38666666666666666,0.2,5
2018,SDG,133,79,0.5939849624060151,0.2,5
2018,PHI,300,159,0.53,0.2,5
2018,ORA,156,84,0.5384615384615384,0.2,5
2018,SEA,229,100,0.4366812227074236,0.2,5
2018,SFO,249,106,0.42570281124497994,0.2,5
2019,SEA,176,44,0.25,0.2,5
2019,SDG,103,49,0.47572815533980584,0.2,5
2019,PHI,155,75,0.4838709677419355,0.2,5
2019,SFO,208,94,0.4519230769230769,0.2,5
2019,ORA,165,64,0.3878787878787879,0.2,5
2020,ALB,94,25,0.26595744680851063,0.2,5
2020,BHM,161,71,0.4409937888198758,0.2,5
2020,SDG,130,56,0.4307692307692308,0.2,5
2020,PHI,194,86,0.44329896907216493,0.2,5
2020,SFO,257,102,0.3968871595330739,0.2,5
2021,NOR,66,24,0.36363636363636365,0.2,5
2021,BHM,112,65,0.5803571428571429,0.2,5
2021,PHI,255,87,0.3411764705882353,0.2,5
2021,SDG,18,12,0.6666666666666666,0.2,5
2021,SFO,177,71,0.4011299435028249,0.2,5
2022,SDG,18,12,0.6666666666666666,0.2,5
2022,BHM,112,65,0.5803571428571429,0.2,5
2022,SEA,179,83,0.46368715083798884,0.2,5
2022,HON,47,20,0.425531914893617,0.2,5
2022,SFO,177,71,0.4011299435028249,0.2,5
2000,HON,79,16,0.20253164556962025,0.4,5
2000,ORA,129,3,0.023255813953488372,0.4,5
2000,NOR,126,0,0.0,0.4,5
2000,SEA,254,0,0.0,0.4,5
2000,SDG,235,5,0.02127659574468085,0.4,5
2001,SDG,249,41,0.1646586345381526,0.4,5
2001,CHI,283,0,0.0,0.4,5
2001,SFO,283,19,0.06713780918727916,0.4,5
2001,HON,94,11,0.11702127659574468,0.4,5
2001,ORA,175,20,0.11428571428571428,0.4,5
2002,SDG,257,34,0.13229571984435798,0.4,5
2002,HON,120,16,0.13333333333333333,0.4,5
2002,SEA,258,18,0.06976744186046512,0.4,5
2002,ORA,178,56,0.3146067415730337,0.4,5
2002,SFO,276,53,0.19202898550724637,0.4,5
2003,ORA,161,33,0.20496894409937888,0.4,5
2003,SFO,300,73,0.24333333333333335,0.4,5
2003,SDG,253,52,0.20553359683794467,0.4,5
2003,HON,92,21,0.22826086956521738,0.4,5
2003,SEA,235,38,0.16170212765957448,0.4,5
2004,SFO,300,94,0.31333333333333335,0.4,5
2004,SDG,294,77,0.2619047619047619,0.4,5
2004,HON,88,17,0.19318181818181818,0.4,5
2004,SEA,268,31,0.11567164179104478,0.4,5
2004,ORA,120,33,0.275,0.4,5
2005,POR,169,46,0.27218934911242604,0.4,5
2005,ORA,133,46,0.3458646616541353,0.4,5
2005,SFO,299,133,0.44481605351170567,0.4,5
2005,SDG,262,92,0.3511450381679389,0.4,5
2005,HON,95,34,0.35789473684210527,0.4,5
2006,HON,70,20,0.2857142857142857,0.4,5
2006,ORA,117,48,0.41025641025641024,0.4,5
2006,SEA,188,55,0.2925531914893617,0.4,5
2006,SDG,190,69,0.3631578947368421,0.4,5
2006,SFO,300,94,0.31333333333333335,0.4,5
2007,SEA,163,51,0.3128834355828221,0.4,5
2007,SDG,182,53,0.29120879120879123,0.4,5
2007,ORA,87,29,0.3333333333333333,0.4,5
2007,SFO,211,55,0.26066350710900477,0.4,5
2007,PHI,253,52,0.20553359683794467,0.4,5
2008,ORA,82,15,0.18292682926829268,0.4,5
2008,SEA,162,34,0.20987654320987653,0.4,5
2008,SDG,172,36,0.20930232558139536,0.4,5
2008,HON,74,33,0.44594594594594594,0.4,5
2008,POR,105,21,0.2,0.4,5
2009,MIN,71,17,0.23943661971830985,0.4,5
2009,SEA,238,114,0.4789915966386555,0.4,5
2009,POR,106,27,0.25471698113207547,0.4,5
2009,HON,78,27,0.34615384615384615,0.4,5
2009,SDG,205,41,0.2,0.4,5
2010,ORA,107,27,0.2523364485981308,0.4,5
2010,MIN,47,11,0.23404255319148937,0.4,5
2010,SEA,167,70,0.41916167664670656,0.4,5
2010,HON,61,18,0.29508196721311475,0.4,5
2010,POR,167,40,0.23952095808383234,0.4,5
2011,ORA,124,42,0.3387096774193548,0.4,5
2011,SEA,149,48,0.3221476510067114,0.4,5
2011,SFO,258,85,0.32945736434108525,0.4,5
2011,SDG,205,79,0.3853658536585366,0.4,5
2011,HON,98,18,0.1836734693877551,0.4,5
2012,ORA,124,55,0.4435483870967742,0.4,5
2012,SEA,143,63,0.4405594405594406,0.4,5
2012,SDG,176,56,0.3181818181818182,0.4,5
2012,POR,129,19,0.14728682170542637,0.4,5
2012,SFO,269,94,0.34944237918215615,0.4,5
2013,SDG,218,66,0.30275229357798167,0.4,5
2013,SFO,300,99,0.33,0.4,5
2013,SEA,194,74,0.38144329896907214,0.4,5
2013,MIN,103,21,0.20388349514563106,0.4,5
2013,ORA,171,52,0.30409356725146197,0.4,5
2014,SFO,300,90,0.3,0.4,5
2014,POR,148,51,0.34459459459459457,0.4,5
2014,HON,123,26,0.21138211382113822,0.4,5
2014,ORA,183,53,0.2896174863387978,0.4,5
2014,SEA,187,52,0.27807486631016043,0.4,5
2015,POR,147,70,0.47619047619047616,0.4,5
2015,ORA,194,74,0.38144329896907214,0.4,5
2015,SFO,300,88,0.29333333333333333,0.4,5
2015,SDG,193,78,0.40414507772020725,0.4,5
2015,MIN,90,28,0.3111111111111111,0.4,5
2016,MIN,64,18,0.28125,0.4,5
2016,POR,119,46,0.3865546218487395,0.4,5
2016,SFO,300,120,0.4,0.4,5
2016,ORA,140,62,0.44285714285714284,0.4,5
2016,SDG,195,109,0.558974358974359,0.4,5
2017,POR,124,28,0.22580645161290322,0.4,5
2017,SFO,242,101,0.41735537190082644,0.4,5
2017,SDG,147,72,0.4897959183673469,0.4,5
2017,ORA,163,76,0.4662576687116564,0.4,5
2017,PHI,300,116,0.38666666666666666,0.4,5
2018,SDG,133,79,0.5939849624060151,0.4,5
2018,PHI,300,159,0.53,0.4,5
2018,ORA,156,84,0.5384615384615384,0.4,5
2018,SEA,229,100,0.4366812227074236,0.4,5
2018,SFO,249,106,0.42570281124497994,0.4,5
2019,SEA,176,44,0.25,0.4,5
2019,SDG,103,49,0.47572815533980584,0.4,5
2019,PHI,155,75,0.4838709677419355,0.4,5
2019,SFO,208,94,0.4519230769230769,0.4,5
2019,ORA,165,64,0.3878787878787879,0.4,5
2020,BHM,161,71,0.4409937888198758,0.4,5
2020,NOR,76,26,0.34210526315789475,0.4,5
2020,SDG,130,56,0.4307692307692308,0.4,5
2020,PHI,194,86,0.44329896907216493,0.4,5
2020,SFO,257,102,0.3968871595330739,0.4,5
2021,NOR,66,24,0.36363636363636365,0.4,5
2021,BHM,112,65,0.5803571428571429,0.4,5
2021,PHI,255,87,0.3411764705882353,0.4,5
2021,SDG,18,12,0.6666666666666666,0.4,5
2021,SFO,177,71,0.4011299435028249,0.4,5
2022,SDG,18,12,0.6666666666666666,0.4,5
2022,BHM,112,65,0.5803571428571429,0.4,5
2022,SEA,179,83,0.46368715083798884,0.4,5
2022,HON,47,20,0.425531914893617,0.4,5
2022,SFO,177,71,0.4011299435028249,0.4,5
2000,HON,79,16,0.20253164556962025,0.6000000000000001,5
2000,ORA,129,3,0.023255813953488372,0.6000000000000001,5
2000,NOR,126,0,0.0,0.6000000000000001,5
2000,SEA,254,0,0.0,0.6000000000000001,5
2000,SDG,235,5,0.02127659574468085,0.6000000000000001,5
2001,SDG,249,41,0.1646586345381526,0.6000000000000001,5
2001,CHI,283,0,0.0,0.6000000000000001,5
2001,SFO,283,19,0.06713780918727916,0.6000000000000001,5
2001,HON,94,11,0.11702127659574468,0.6000000000000001,5
2001,ORA,175,20,0.11428571428571428,0.6000000000000001,5
2002,SDG,257,34,0.13229571984435798,0.6000000000000001,5
2002,HON,120,16,0.13333333333333333,0.6000000000000001,5
2002,SEA,258,18,0.06976744186046512,0.6000000000000001,5
2002,ORA,178,56,0.3146067415730337,0.6000000000000001,5
2002,SFO,276,53,0.19202898550724637,0.6000000000000001,5
2003,ORA,161,33,0.20496894409937888,0.6000000000000001,5
