,CLINIC,YEAR,TOTAL,CipRsum
0,ALB,2000,161,0
1,ALB,2001,147,0
2,ALB,2002,190,0
3,ALB,2003,160,0
4,ALB,2004,53,0
5,ALB,2005,88,0
6,ALB,2006,151,11
7,ALB,2007,156,26
8,ALB,2008,102,7
9,ALB,2009,96,7
10,ALB,2010,105,24
11,ALB,2011,152,33
12,ALB,2012,152,25
13,ALB,2013,139,21
14,ALB,2014,114,7
15,ALB,2015,115,11
16,ALB,2016,140,22
17,ALB,2017,137,31
18,ALB,2018,185,23
19,ALB,2019,119,35
20,ALB,2020,118,48
21,ALB,2021,94,25
22,ALB,2022,91,20
23,ANC,2000,29,2
24,ANC,2001,53,0
25,ANC,2002,27,1
26,ANC,2003,25,0
27,ANC,2018,17,9
28,ANC,2019,59,30
29,ANC,2020,20,6
30,ANC,2021,18,5
31,ANC,2022,10,1
32,ATL,2000,266,0
33,ATL,2001,201,0
34,ATL,2002,248,0
35,ATL,2003,253,0
36,ATL,2004,116,1
37,ATL,2005,237,9
38,ATL,2006,246,14
39,ATL,2007,78,2
40,ATL,2008,184,19
41,ATL,2009,232,12
42,ATL,2010,287,14
43,ATL,2011,277,20
44,ATL,2012,277,20
45,ATL,2013,300,32
46,ATL,2014,300,57
47,ATL,2015,299,59
48,ATL,2016,287,82
49,ATL,2017,201,68
50,ATL,2018,143,48
51,BAL,2000,290,0
52,BAL,2001,293,0
53,BAL,2002,299,0
54,BAL,2003,288,1
55,BAL,2004,294,3
56,BAL,2005,297,9
57,BAL,2006,277,4
58,BAL,2007,296,6
59,BAL,2008,297,16
60,BAL,2009,276,14
61,BAL,2010,244,25
62,BAL,2011,293,5
63,BAL,2012,300,16
64,BAL,2013,300,58
65,BAL,2019,101,42
66,BAL,2022,12,3
67,BHM,2000,299,0
68,BHM,2001,299,0
69,BHM,2002,299,0
70,BHM,2003,290,0
71,BHM,2004,288,0
72,BHM,2005,286,3
73,BHM,2006,274,3
74,BHM,2007,278,26
75,BHM,2008,240,20
76,BHM,2009,209,21
77,BHM,2010,266,29
78,BHM,2011,212,38
79,BHM,2012,300,44
80,BHM,2013,153,13
81,BHM,2014,223,35
82,BHM,2015,175,27
83,BHM,2016,189,31
84,BHM,2017,123,29
85,BHM,2018,98,25
86,BHM,2019,103,38
87,BHM,2020,111,55
88,BHM,2021,161,71
89,BHM,2022,112,65
90,BOS,2014,27,4
91,BOS,2015,38,6
92,BOS,2016,29,13
93,BOS,2017,31,13
94,BOS,2018,35,16
95,BUF,2014,87,13
96,BUF,2015,140,30
97,BUF,2016,141,54
98,BUF,2017,136,21
99,BUF,2018,163,24
100,BUF,2019,67,25
101,BUF,2020,13,5
102,BUF,2021,25,2
103,BUF,2022,37,2
104,CAM,2019,44,19
105,CAM,2020,53,34
106,CAM,2021,13,6
107,CHI,2000,222,0
108,CHI,2001,272,0
109,CHI,2002,283,0
110,CHI,2003,284,6
111,CHI,2004,300,7
112,CHI,2005,279,13
113,CHI,2006,296,12
114,CHI,2007,268,23
115,CHI,2008,262,14
116,CHI,2009,235,23
117,CHI,2010,125,24
118,CHI,2011,269,28
119,CHI,2012,275,23
120,CHI,2013,300,23
121,CHI,2014,129,14
122,CHI,2015,150,22
123,CHI,2016,125,28
124,CHI,2017,158,38
125,CHI,2018,103,22
126,CHI,2019,127,43
127,CHI,2020,23,6
128,CHI,2021,24,6
129,CHI,2022,43,13
130,CIN,2000,262,0
131,CIN,2001,264,0
132,CIN,2002,261,1
133,CIN,2003,275,1
134,CIN,2004,300,1
135,CIN,2005,300,3
136,CIN,2006,300,2
137,CIN,2007,257,3
138,CIN,2008,180,4
139,CIN,2009,213,3
140,CIN,2010,193,3
141,CIN,2011,42,0
142,CLE,2000,251,0
143,CLE,2001,270,0
144,CLE,2002,276,0
145,CLE,2003,292,1
146,CLE,2004,264,1
147,CLE,2005,283,8
148,CLE,2006,294,9
149,CLE,2007,285,2
150,CLE,2008,243,10
151,CLE,2009,235,1
152,CLE,2010,212,2
153,CLE,2011,204,3
154,CLE,2012,175,2
155,CLE,2013,167,2
156,CLE,2014,113,6
157,CLE,2015,123,16
158,CLE,2016,120,11
159,CLE,2017,73,12
160,CLE,2018,39,6
161,CLE,2019,64,8
162,CLE,2020,47,12
163,CLE,2021,53,15
164,CLE,2022,24,8
165,COL,2012,113,8
166,COL,2013,300,10
167,COL,2014,300,16
168,COL,2015,300,47
169,COL,2016,300,65
170,COL,2017,300,81
171,COL,2018,298,88
172,COL,2019,300,114
173,COL,2020,102,48
174,DAL,2000,248,0
175,DAL,2001,297,0
176,DAL,2002,289,0
177,DAL,2003,294,6
178,DAL,2004,299,9
179,DAL,2005,281,9
180,DAL,2006,296,18
181,DAL,2007,295,22
182,DAL,2008,295,21
183,DAL,2009,300,20
184,DAL,2010,296,23
185,DAL,2011,267,12
186,DAL,2012,283,33
187,DAL,2013,287,30
188,DAL,2014,300,32
189,DAL,2015,283,48
190,DAL,2016,300,74
191,DAL,2017,282,58
192,DAL,2018,300,87
193,DAL,2019,300,85
194,DAL,2020,243,85
195,DAL,2021,256,80
196,DAL,2022,193,68
197,DEN,2000,297,0
198,DEN,2001,299,1
199,DEN,2002,300,0
200,DEN,2003,300,2
201,DEN,2004,300,25
202,DEN,2005,284,31
203,DEN,2006,293,46
204,DEN,2007,218,37
205,DEN,2008,252,27
206,DEN,2009,230,26
207,DEN,2010,239,34
208,DEN,2011,187,33
209,DEN,2012,193,31
210,DEN,2013,199,36
211,DEN,2018,124,45
212,DEN,2019,294,85
213,DEN,2020,253,92
214,DEN,2021,257,70
215,DEN,2022,230,58
216,DTR,2003,297,0
217,DTR,2004,297,0
218,DTR,2005,298,1
219,DTR,2006,300,1
220,DTR,2007,288,5
221,DTR,2008,286,3
222,DTR,2009,292,1
223,DTR,2010,245,2
224,DTR,2011,199,1
225,FBG,2000,117,0
226,FBG,2001,95,0
227,FBG,2002,29,0
228,GRB,2002,32,0
229,GRB,2003,239,0
230,GRB,2004,127,1
231,GRB,2005,177,1
232,GRB,2006,173,3
233,GRB,2007,171,9
234,GRB,2008,167,6
235,GRB,2009,160,1
236,GRB,2010,189,3
237,GRB,2011,214,10
238,GRB,2012,102,8
239,GRB,2013,168,5
240,GRB,2014,213,27
241,GRB,2015,259,59
242,GRB,2016,194,60
243,GRB,2017,207,65
244,GRB,2018,244,49
245,GRB,2019,216,40
246,GRB,2020,195,36
247,GRB,2021,183,42
248,GRB,2022,192,30
249,HON,2000,42,6
250,HON,2001,79,16
251,HON,2002,94,11
252,HON,2003,120,16
253,HON,2004,92,21
254,HON,2005,88,17
255,HON,2006,95,34
256,HON,2007,70,20
257,HON,2008,79,32
258,HON,2009,74,33
259,HON,2010,78,27
260,HON,2011,61,18
261,HON,2012,98,18
262,HON,2013,73,8
263,HON,2014,122,48
264,HON,2015,123,26
265,HON,2016,128,27
266,HON,2017,95,18
267,HON,2018,76,19
268,HON,2019,68,24
269,HON,2020,32,13
270,HON,2021,49,15
271,HON,2022,47,20
272,IND,2013,299,33
273,IND,2014,300,37
274,IND,2015,298,44
275,IND,2016,282,31
276,IND,2017,300,41
277,IND,2018,296,54
278,IND,2019,293,69
279,IND,2020,297,88
280,IND,2021,295,84
281,IND,2022,275,87
282,JAC,2018,21,9
283,JAC,2019,92,36
284,JAC,2020,22,4
285,KCY,2000,293,0
286,KCY,2001,289,0
287,KCY,2007,55,9
288,KCY,2008,252,19
289,KCY,2009,300,4
290,KCY,2010,300,3
291,KCY,2011,300,6
292,KCY,2012,300,6
293,KCY,2013,300,29
294,KCY,2014,232,25
295,KCY,2015,270,51
296,KCY,2016,300,63
297,KCY,2017,300,83
298,KCY,2018,300,103
299,KCY,2019,300,91
300,KCY,2020,83,23
301,KCY,2021,97,29
302,KCY,2022,223,64
303,LAX,2003,202,25
304,LAX,2004,268,37
305,LAX,2005,193,28
306,LAX,2006,207,47
307,LAX,2007,165,37
308,LAX,2008,125,21
309,LAX,2009,210,28
310,LAX,2010,264,44
311,LAX,2011,174,49
312,LAX,2012,149,52
313,LAX,2013,194,67
314,LAX,2014,171,43
315,LAX,2015,81,18
316,LAX,2016,133,59
317,LAX,2017,199,85
318,LAX,2018,160,82
319,LAX,2019,156,82
320,LAX,2020,45,20
321,LAX,2021,82,33
322,LAX,2022,86,30
323,LBC,2000,93,0
324,LBC,2001,99,3
325,LBC,2002,97,7
326,LBC,2003,93,18
327,LBC,2004,100,25
328,LBC,2005,98,23
329,LBC,2006,67,19
330,LBC,2007,69,21
331,LVG,2002,52,0
332,LVG,2003,286,7
333,LVG,2004,291,7
334,LVG,2005,295,16
335,LVG,2006,300,26
336,LVG,2007,300,56
337,LVG,2008,300,53
338,LVG,2009,300,33
339,LVG,2010,300,23
340,LVG,2011,291,26
341,LVG,2012,253,50
342,LVG,2013,300,82
343,LVG,2014,300,51
344,LVG,2015,300,76
345,LVG,2016,300,85
346,LVG,2017,300,98
347,LVG,2018,281,96
348,LVG,2019,246,89
349,LVG,2020,166,58
350,LVG,2021,167,58
351,LVG,2022,177,50
352,MIA,2000,199,0
353,MIA,2001,234,0
354,MIA,2002,238,1
355,MIA,2003,244,5
356,MIA,2004,192,13
357,MIA,2005,265,24
358,MIA,2006,212,42
359,MIA,2007,266,52
360,MIA,2008,259,42
361,MIA,2009,219,27
362,MIA,2010,209,32
363,MIA,2011,162,38
364,MIA,2012,188,47
365,MIA,2013,187,43
366,MIA,2018,19,10
367,MIA,2019,66,35
368,MIA,2020,70,31
369,MIA,2021,34,18
370,MIL,2018,82,9
371,MIL,2019,285,53
372,MIL,2020,299,90
373,MIL,2021,272,64
374,MIL,2022,297,73
375,MIN,2000,297,0
376,MIN,2001,171,0
377,MIN,2002,197,1
378,MIN,2003,215,5
379,MIN,2004,237,22
380,MIN,2005,249,20
381,MIN,2006,230,13
382,MIN,2007,252,27
383,MIN,2008,184,14
384,MIN,2009,123,30
385,MIN,2010,71,17
386,MIN,2011,47,11
387,MIN,2012,78,9
388,MIN,2013,97,17
389,MIN,2014,103,21
390,MIN,2015,105,39
391,MIN,2016,90,28
392,MIN,2017,64,18
393,MIN,2018,85,23
394,MIN,2019,83,32
395,MIN,2020,80,22
396,MIN,2021,166,53
397,MIN,2022,113,24
398,NOR,2000,274,1
399,NOR,2001,126,0
400,NOR,2002,197,0
401,NOR,2003,263,1
402,NOR,2004,194,3
403,NOR,2005,96,6
404,NOR,2006,49,5
405,NOR,2007,249,45
406,NOR,2008,175,26
407,NOR,2009,242,19
408,NOR,2010,243,31
409,NOR,2011,248,28
410,NOR,2012,203,19
411,NOR,2013,209,25
412,NOR,2014,171,22
413,NOR,2015,131,27
414,NOR,2016,161,40
415,NOR,2017,138,38
416,NOR,2018,123,44
417,NOR,2019,121,41
418,NOR,2020,87,35
419,NOR,2021,76,26
420,NOR,2022,66,24
421,NYC,2006,53,4
422,NYC,2007,181,27
423,NYC,2008,123,19
424,NYC,2009,179,28
425,NYC,2010,198,27
426,NYC,2011,216,36
427,NYC,2012,183,18
428,NYC,2013,141,25
429,NYC,2014,132,31
430,NYC,2015,141,48
431,NYC,2016,178,62
432,NYC,2017,203,87
433,NYC,2018,213,90
434,NYC,2019,244,101
435,NYC,2020,58,31
436,NYC,2021,128,51
437,NYC,2022,187,69
438,OKC,2003,195,0
439,OKC,2004,299,4
440,OKC,2005,300,7
441,OKC,2006,300,13
442,OKC,2007,285,17
443,OKC,2008,293,13
444,OKC,2009,254,5
445,OKC,2010,233,1
446,OKC,2011,169,3
447,OKC,2012,194,2
448,OKC,2013,175,8
449,ORA,2000,107,6
450,ORA,2001,129,3
451,ORA,2002,175,20
452,ORA,2003,178,56
453,ORA,2004,161,33
454,ORA,2005,120,33
455,ORA,2006,133,46
456,ORA,2007,117,48
457,ORA,2008,87,29
458,ORA,2009,82,15
459,ORA,2010,104,24
460,ORA,2011,107,27
461,ORA,2012,124,42
462,ORA,2013,124,55
463,ORA,2014,171,52
464,ORA,2015,183,53
465,ORA,2016,194,74
466,ORA,2017,140,62
467,ORA,2018,163,76
468,ORA,2019,156,84
469,ORA,2020,165,64
470,ORA,2021,160,51
471,ORA,2022,117,41
472,PHI,2000,293,0
473,PHI,2001,300,0
474,PHI,2002,300,3
475,PHI,2003,300,4
476,PHI,2004,300,10
477,PHI,2005,300,43
478,PHI,2006,300,91
479,PHI,2007,282,82
480,PHI,2008,253,52
481,PHI,2009,206,32
482,PHI,2010,296,41
483,PHI,2011,288,22
484,PHI,2012,300,61
485,PHI,2013,300,42
486,PHI,2014,300,69
487,PHI,2015,300,76
488,PHI,2016,300,65
489,PHI,2017,283,106
490,PHI,2018,300,116
491,PHI,2019,300,159
492,PHI,2020,155,75
493,PHI,2021,194,86
494,PHI,2022,255,87
495,PHX,2000,292,0
496,PHX,2001,285,0
497,PHX,2002,288,1
498,PHX,2003,227,6
499,PHX,2004,289,19
500,PHX,2005,283,20
501,PHX,2006,270,32
502,PHX,2007,275,24
503,PHX,2008,248,41
504,PHX,2009,227,36
505,PHX,2010,199,31
506,PHX,2011,300,32
507,PHX,2012,300,32
508,PHX,2013,300,39
509,PHX,2014,300,63
510,PHX,2015,300,86
511,PHX,2016,300,84
512,PHX,2017,300,60
513,PHX,2018,300,70
514,PHX,2019,300,95
515,PHX,2020,300,90
516,PHX,2021,280,92
517,PHX,2022,235,64
518,PIT,2022,111,33
519,PON,2012,194,6
520,PON,2013,190,12
521,PON,2014,135,15
522,PON,2015,198,27
523,PON,2016,235,59
524,PON,2017,231,57
525,PON,2018,246,65
526,PON,2019,198,51
527,PON,2020,46,4
528,PON,2021,39,14
529,PON,2022,51,13
530,POR,2000,151,0
531,POR,2001,187,0
532,POR,2002,115,2
533,POR,2003,132,4
534,POR,2004,191,22
535,POR,2005,238,55
536,POR,2006,169,46
537,POR,2007,147,42
538,POR,2008,157,81
539,POR,2009,105,21
540,POR,2010,106,27
541,POR,2011,167,40
542,POR,2012,115,24
543,POR,2013,129,19
544,POR,2014,128,48
545,POR,2015,148,51
546,POR,2016,147,70
547,POR,2017,119,46
548,POR,2018,124,28
549,POR,2019,84,16
550,POR,2020,102,21
551,POR,2021,77,26
552,POR,2022,71,27
553,RIC,2007,28,5
554,RIC,2008,124,27
555,RIC,2009,31,5
556,RIC,2010,14,1
557,RIC,2011,29,3
558,RIC,2012,20,1
559,RIC,2013,15,4
560,SDG,2000,228,1
561,SDG,2001,235,5
562,SDG,2002,249,41
563,SDG,2003,257,34
564,SDG,2004,253,52
565,SDG,2005,294,77
566,SDG,2006,262,92
567,SDG,2007,190,69
568,SDG,2008,182,53
569,SDG,2009,172,36
570,SDG,2010,205,41
571,SDG,2011,210,66
572,SDG,2012,205,79
573,SDG,2013,176,56
574,SDG,2014,218,66
575,SDG,2015,189,59
576,SDG,2016,193,78
577,SDG,2017,195,109
578,SDG,2018,147,72
579,SDG,2019,133,79
580,SDG,2020,103,49
581,SDG,2021,130,56
582,SDG,2022,18,12
583,SEA,2000,216,2
584,SEA,2001,254,0
585,SEA,2002,267,8
586,SEA,2003,258,18
587,SEA,2004,235,38
588,SEA,2005,268,31
589,SEA,2006,242,77
590,SEA,2007,188,55
591,SEA,2008,163,51
592,SEA,2009,162,34
593,SEA,2010,238,114
594,SEA,2011,167,70
595,SEA,2012,149,48
596,SEA,2013,143,63
597,SEA,2014,194,74
598,SEA,2015,187,52
599,SEA,2016,188,55
600,SEA,2017,246,80
601,SEA,2018,224,98
602,SEA,2019,229,100
603,SEA,2020,176,44
604,SEA,2021,176,57
605,SEA,2022,179,83
606,SFO,2000,294,1
607,SFO,2001,297,10
608,SFO,2002,283,19
609,SFO,2003,276,53
610,SFO,2004,300,73
611,SFO,2005,300,94
612,SFO,2006,299,133
613,SFO,2007,300,94
614,SFO,2008,211,55
615,SFO,2009,260,26
616,SFO,2010,230,42
617,SFO,2011,212,68
618,SFO,2012,258,85
619,SFO,2013,269,94
620,SFO,2014,300,99
621,SFO,2015,300,90
622,SFO,2016,300,88
623,SFO,2017,300,120
624,SFO,2018,242,101
625,SFO,2019,249,106
626,SFO,2020,208,94
627,SFO,2021,257,102
628,SFO,2022,177,71
629,SLC,2003,20,0
630,STL,2000,240,0
631,STL,2001,295,0
632,STL,2002,256,0
633,STL,2003,265,0
634,STL,2004,275,0
635,WDC,2018,4,2
636,WDC,2019,77,32
637,WDC,2020,59,15
638,WDC,2021,54,17
639,WDC,2022,54,17
